Event_ID,Event_Date,Model_Name,Region,Predicted_Class,Actual_Class,Prediction_Score,Latency_ms,Inference_Cost_USD,Drift_Score,Fairness_Gap,Business_Value_USD,Outcome_Status,Prediction_Correct,Drift_Alert,Fairness_Alert,Latency_Alert,Model_Health
EVT10421,2026-05-25,Churn_Model,South,Negative,Negative,0.978,438.53999999999985,0.178,0.085,0.089,682.19,Success,1,Normal,Normal,Alert,Needs Attention
EVT10445,2026-05-09,Churn_Model,East,Positive,Negative,0.762,166.5,0.039,0.308,0.094,1233.31,Success,0,Alert,Normal,Normal,Needs Attention
EVT10080,2026-04-21,Demand_Model,North,Positive,Positive,0.488,193.7,0.133,0.277,0.057,1492.29,Success,1,Alert,Normal,Normal,Needs Attention
EVT10319,2026-06-21,Demand_Model,East,Positive,Negative,0.485,259.8,0.075,0.227,0.013,212.93,Success,0,Alert,Normal,Normal,Needs Attention
EVT10211,2026-03-10,Fraud_Model,South,Positive,Negative,0.724,438.53999999999985,0.147,0.196,0.111,266.25,Success,0,Normal,Alert,Alert,Needs Attention
EVT10496,2026-03-08,Fraud_Model,East,Negative,Negative,0.479,193.7,0.049,0.206,0.118,980.27,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10173,2026-06-14,Fraud_Model,East,Positive,Positive,0.596,209.2,0.122,0.149,0.02,577.29,Success,1,Normal,Normal,Normal,Healthy
EVT10454,2026-03-27,Fraud_Model,South,Positive,Positive,0.555,202.5,0.13,0.196,0.058,51.35,Success,1,Normal,Normal,Normal,Healthy
EVT10375,2026-05-24,Fraud_Model,East,Positive,Negative,0.487,121.9,0.063,0.249,0.01,735.89,Success,0,Alert,Normal,Normal,Needs Attention
EVT10359,2026-02-08,Churn_Model,West,Positive,Negative,0.853,188.1,0.096,0.018,0.012,643.17,Failure,0,Normal,Normal,Normal,Healthy
EVT10466,2026-01-23,Demand_Model,South,Negative,Positive,0.904,141.0,0.114,0.233,0.004,1215.45,Success,0,Alert,Normal,Normal,Needs Attention
EVT10154,2026-01-28,Demand_Model,South,Negative,Negative,0.459,154.9,0.139,0.149,0.147,625.57,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10003,2026-03-04,Demand_Model,North,Negative,Negative,0.538,211.1,0.151,0.027,0.067,1210.3,Success,1,Normal,Normal,Normal,Healthy
EVT10336,2026-05-08,Fraud_Model,North,Positive,Negative,0.522,125.5,0.175,0.181,0.015,1225.18,Success,0,Normal,Normal,Normal,Healthy
EVT10209,2026-02-07,Demand_Model,West,Negative,Negative,0.917,157.6,0.147,0.208,0.032,65.22,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10074,2026-01-14,Churn_Model,South,Negative,Negative,0.853,146.4,0.171,0.262,0.185,1016.59,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10495,2026-01-12,Demand_Model,South,Negative,Positive,0.83,245.4,0.179,0.215,0.161,1003.69,Success,0,Alert,Alert,Normal,Needs Attention
EVT10452,2026-05-24,Demand_Model,South,Negative,Negative,0.926,347.6,0.104,0.075,0.102,132.82,Failure,1,Normal,Alert,Alert,Needs Attention
EVT10205,2026-06-09,Demand_Model,East,Negative,Negative,0.813,181.8,0.152,0.225,0.149,1212.44,Success,1,Alert,Alert,Normal,Needs Attention
EVT10069,2026-01-04,Churn_Model,East,Negative,Negative,0.734,115.4,0.127,0.013,0.13,1296.36,Success,1,Normal,Alert,Normal,Needs Attention
EVT10091,2026-03-12,Churn_Model,South,Positive,Positive,0.952,250.5,0.023,0.28,0.124,809.17,Success,1,Alert,Alert,Normal,Needs Attention
EVT10300,2026-06-07,Fraud_Model,North,Positive,Positive,0.803,304.9,0.042,0.313,0.143,130.35,Failure,1,Alert,Alert,Alert,Needs Attention
EVT10034,2026-02-20,Demand_Model,East,Negative,Positive,0.606,296.7,0.075,0.302,0.152,1346.68,Success,0,Alert,Alert,Normal,Needs Attention
EVT10071,2026-05-26,Churn_Model,North,Negative,Positive,0.707,145.5,0.165,0.161,0.111,1057.25,Success,0,Normal,Alert,Normal,Needs Attention
EVT10469,2026-04-10,Churn_Model,East,Positive,Positive,0.855,191.2,0.011,0.234,0.065,592.22,Success,1,Alert,Normal,Normal,Needs Attention
EVT10001,2026-04-13,Churn_Model,North,Negative,Negative,0.958,263.6,0.024,0.232,0.188,1267.74,Success,1,Alert,Alert,Normal,Needs Attention
EVT10012,2026-04-27,Demand_Model,North,Negative,Negative,0.652,113.7,0.169,0.083,0.118,496.44,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10282,2026-06-18,Fraud_Model,South,Negative,Positive,0.682,235.6,0.098,0.158,0.089,904.36,Success,0,Normal,Normal,Normal,Healthy
EVT10023,2026-05-10,Fraud_Model,East,Positive,Positive,0.896,231.4,0.041,0.185,0.047,111.58,Success,1,Normal,Normal,Normal,Healthy
EVT10102,2026-02-02,Demand_Model,East,Positive,Negative,0.882,211.4,0.107,0.176,0.159,478.71,Success,0,Normal,Alert,Normal,Needs Attention
EVT10269,2026-06-15,Churn_Model,South,Positive,Positive,0.91,151.5,0.016,0.084,0.052,852.27,Success,1,Normal,Normal,Normal,Healthy
EVT10484,2026-03-25,Fraud_Model,East,Negative,Positive,0.546,125.3,0.123,0.34,0.125,972.3,Success,0,Alert,Alert,Normal,Needs Attention
EVT10442,2026-02-17,Demand_Model,South,Negative,Negative,0.507,213.4,0.127,0.116,0.121,1010.72,Success,1,Normal,Alert,Normal,Needs Attention
EVT10291,2026-05-16,Churn_Model,South,Positive,Positive,0.574,221.1,0.02,0.327,0.087,135.7,Success,1,Alert,Normal,Normal,Needs Attention
EVT10085,2026-02-10,Fraud_Model,East,Positive,Negative,0.709,122.7,0.087,0.118,0.008,495.92,Success,0,Normal,Normal,Normal,Healthy
EVT10246,2026-03-01,Demand_Model,North,Negative,Positive,0.954,129.9,0.173,0.163,0.188,80.48,Success,0,Normal,Alert,Normal,Needs Attention
EVT10064,2026-05-12,Churn_Model,West,Negative,Positive,0.907,218.6,0.123,0.264,0.139,722.53,Success,0,Alert,Alert,Normal,Needs Attention
EVT10056,2026-06-21,Demand_Model,North,Negative,Negative,0.458,187.1,0.135,0.252,0.151,250.12,Success,1,Alert,Alert,Normal,Needs Attention
EVT10230,2026-06-17,Churn_Model,West,Negative,Positive,0.721,237.0,0.02,0.268,0.062,689.67,Success,0,Alert,Normal,Normal,Needs Attention
EVT10019,2026-01-02,Fraud_Model,South,Positive,Positive,0.88,181.8,0.125,0.178,0.053,1390.22,Success,1,Normal,Normal,Normal,Healthy
EVT10411,2026-02-24,Churn_Model,West,Negative,Negative,0.718,233.4,0.022,0.035,0.028,959.1,Success,1,Normal,Normal,Normal,Healthy
EVT10210,2026-01-24,Fraud_Model,South,Positive,Positive,0.779,163.1,0.018,0.155,0.01,1347.84,Failure,1,Normal,Normal,Normal,Healthy
EVT10395,2026-03-11,Demand_Model,North,Negative,Positive,0.712,146.2,0.052,0.33,0.025,512.1,Success,0,Alert,Normal,Normal,Needs Attention
EVT10083,2026-06-03,Demand_Model,West,Positive,Positive,0.655,218.3,0.078,0.102,0.066,1026.87,Success,1,Normal,Normal,Normal,Healthy
EVT10040,2026-05-15,Demand_Model,South,Negative,Negative,0.937,169.3,0.01,0.293,0.095,517.95,Success,1,Alert,Normal,Normal,Needs Attention
EVT10456,2026-03-10,Fraud_Model,South,Negative,Negative,0.805,224.3,0.106,0.236,0.193,85.7,Success,1,Alert,Alert,Normal,Needs Attention
EVT10047,2026-03-01,Demand_Model,North,Positive,Positive,0.627,270.2,0.158,0.277,0.094,1353.24,Success,1,Alert,Normal,Normal,Needs Attention
EVT10413,2026-02-21,Churn_Model,West,Positive,Positive,0.986,290.0,0.075,0.19,0.021,936.89,Success,1,Normal,Normal,Normal,Healthy
EVT10315,2026-01-04,Churn_Model,West,Positive,Negative,0.625,168.6,0.047,0.151,0.092,123.91,Failure,0,Normal,Normal,Normal,Healthy
EVT10355,2026-06-10,Fraud_Model,South,Negative,Positive,0.984,155.7,0.084,0.164,0.14,1108.75,Success,0,Normal,Alert,Normal,Needs Attention
EVT10078,2026-02-09,Demand_Model,West,Positive,Negative,0.683,181.8,0.164,0.083,0.086,1215.94,Success,0,Normal,Normal,Normal,Healthy
EVT10398,2026-04-11,Churn_Model,North,Positive,Negative,0.783,184.8,0.013,0.128,0.117,882.08,Success,0,Normal,Alert,Normal,Needs Attention
EVT10105,2026-02-10,Fraud_Model,West,Negative,Positive,0.878,341.4,0.159,0.303,0.063,444.09,Failure,0,Alert,Normal,Alert,Needs Attention
EVT10204,2026-06-09,Demand_Model,South,Positive,Negative,0.582,369.8,0.113,0.137,0.18,924.83,Success,0,Normal,Alert,Alert,Needs Attention
EVT10381,2026-03-07,Demand_Model,West,Negative,Positive,0.573,149.9,0.049,0.245,0.174,333.85,Success,0,Alert,Alert,Normal,Needs Attention
EVT10488,2026-06-12,Fraud_Model,East,Positive,Positive,0.659,310.4,0.161,0.055,0.155,1386.19,Failure,1,Normal,Alert,Alert,Needs Attention
EVT10070,2026-02-23,Fraud_Model,East,Positive,Negative,0.583,123.6,0.051,0.324,0.042,908.84,Failure,0,Alert,Normal,Normal,Needs Attention
EVT10408,2026-04-04,Churn_Model,West,Negative,Positive,0.598,116.4,0.024,0.171,0.13,226.46,Success,0,Normal,Alert,Normal,Needs Attention
EVT10256,2026-05-27,Churn_Model,East,Positive,Positive,0.896,105.2,0.034,0.167,0.056,257.29,Success,1,Normal,Normal,Normal,Healthy
EVT10392,2026-02-18,Demand_Model,South,Negative,Negative,0.518,234.9,0.155,0.245,0.147,1366.62,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10312,2026-03-02,Churn_Model,West,Positive,Positive,0.818,248.2,0.067,0.184,0.156,216.39,Success,1,Normal,Alert,Normal,Needs Attention
EVT10235,2026-05-09,Fraud_Model,East,Negative,Negative,0.738,121.6,0.076,0.21,0.186,366.35,Success,1,Alert,Alert,Normal,Needs Attention
EVT10473,2026-05-27,Fraud_Model,West,Negative,Negative,0.905,140.8,0.019,0.248,0.13,526.41,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10324,2026-04-09,Churn_Model,North,Negative,Negative,0.72,188.5,0.098,0.204,0.155,988.81,Success,1,Alert,Alert,Normal,Needs Attention
EVT10094,2026-05-09,Churn_Model,West,Positive,Positive,0.498,135.3,0.041,0.167,0.07,452.88,Success,1,Normal,Normal,Normal,Healthy
EVT10138,2026-05-12,Churn_Model,North,Negative,Negative,0.739,144.5,0.038,0.331,0.151,1232.87,Success,1,Alert,Alert,Normal,Needs Attention
EVT10177,2026-02-28,Fraud_Model,North,Positive,Positive,0.697,130.3,0.079,0.081,0.117,478.43,Success,1,Normal,Alert,Normal,Needs Attention
EVT10337,2026-01-18,Demand_Model,North,Positive,Positive,0.505,170.5,0.086,0.333,0.047,445.34,Success,1,Alert,Normal,Normal,Needs Attention
EVT10132,2026-05-04,Churn_Model,West,Negative,Positive,0.531,191.9,0.154,0.266,0.092,586.54,Success,0,Alert,Normal,Normal,Needs Attention
EVT10026,2026-02-27,Demand_Model,East,Negative,Positive,0.638,232.8,0.125,0.109,0.122,1264.03,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10365,2026-06-01,Fraud_Model,East,Positive,Negative,0.659,438.53999999999985,0.146,0.227,0.039,1411.06,Success,0,Alert,Normal,Alert,Needs Attention
EVT10133,2026-06-28,Fraud_Model,South,Positive,Negative,0.679,174.2,0.064,0.079,0.173,848.18,Success,0,Normal,Alert,Normal,Needs Attention
EVT10332,2026-04-26,Demand_Model,East,Positive,Positive,0.782,159.5,0.105,0.178,0.161,1122.54,Success,1,Normal,Alert,Normal,Needs Attention
EVT10412,2026-06-17,Churn_Model,West,Positive,Negative,0.457,192.2,0.045,0.159,0.109,1222.17,Success,0,Normal,Alert,Normal,Needs Attention
EVT10101,2026-06-12,Demand_Model,West,Positive,Positive,0.914,128.0,0.107,0.141,0.087,119.73,Failure,1,Normal,Normal,Normal,Healthy
EVT10350,2026-05-07,Demand_Model,South,Negative,Positive,0.573,108.3,0.123,0.285,0.146,135.81,Success,0,Alert,Alert,Normal,Needs Attention
EVT10087,2026-01-15,Fraud_Model,North,Positive,Negative,0.54,121.4,0.047,0.036,0.119,1204.94,Success,0,Normal,Alert,Normal,Needs Attention
EVT10076,2026-02-17,Churn_Model,West,Negative,Positive,0.731,182.2,0.135,0.307,0.064,880.33,Success,0,Alert,Normal,Normal,Needs Attention
EVT10443,2026-03-30,Fraud_Model,East,Positive,Positive,0.532,203.4,0.034,0.011,0.105,1221.19,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10016,2026-05-11,Fraud_Model,South,Negative,Negative,0.917,149.0,0.106,0.123,0.011,417.77,Success,1,Normal,Normal,Normal,Healthy
EVT10326,2026-02-06,Demand_Model,North,Positive,Positive,0.531,211.8,0.117,0.139,0.113,521.14,Success,1,Normal,Alert,Normal,Needs Attention
EVT10389,2026-02-27,Demand_Model,East,Negative,Positive,0.708,141.2,0.022,0.053,0.059,314.99,Success,0,Normal,Normal,Normal,Healthy
EVT10020,2026-03-29,Churn_Model,North,Positive,Positive,0.946,129.4,0.034,0.106,0.111,522.44,Success,1,Normal,Alert,Normal,Needs Attention
EVT10325,2026-05-04,Demand_Model,West,Positive,Negative,0.594,109.9,0.056,0.305,0.026,1273.44,Success,0,Alert,Normal,Normal,Needs Attention
EVT10335,2026-03-08,Demand_Model,South,Positive,Negative,0.966,210.6,0.039,0.33,0.067,332.42,Success,0,Alert,Normal,Normal,Needs Attention
EVT10057,2026-01-08,Fraud_Model,North,Negative,Negative,0.767,237.1,0.176,0.014,0.043,167.51,Failure,1,Normal,Normal,Normal,Healthy
EVT10339,2026-02-23,Churn_Model,North,Positive,Negative,0.959,79.1,0.041,0.133,0.19,589.57,Success,0,Normal,Alert,Normal,Needs Attention
EVT10409,2026-02-16,Churn_Model,South,Negative,Negative,0.951,95.4,0.067,0.029,0.175,902.74,Success,1,Normal,Alert,Normal,Needs Attention
EVT10334,2026-06-10,Fraud_Model,West,Negative,Negative,0.662,438.53999999999985,0.13,0.167,0.032,74.18,Success,1,Normal,Normal,Alert,Needs Attention
EVT10182,2026-04-23,Fraud_Model,South,Negative,Negative,0.988,117.8,0.166,0.298,0.123,299.52,Success,1,Alert,Alert,Normal,Needs Attention
EVT10228,2026-02-21,Churn_Model,South,Positive,Negative,0.756,293.1,0.025,0.3,0.12,1261.29,Success,0,Alert,Alert,Normal,Needs Attention
EVT10427,2026-03-31,Fraud_Model,North,Positive,Negative,0.857,245.4,0.176,0.342,0.101,1098.45,Success,0,Alert,Alert,Normal,Needs Attention
EVT10181,2026-06-29,Demand_Model,North,Positive,Negative,0.646,146.2,0.088,0.263,0.14,265.12,Failure,0,Alert,Alert,Normal,Needs Attention
EVT10330,2026-04-05,Fraud_Model,East,Positive,Negative,0.802,211.2,0.117,0.17,0.138,760.31,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10239,2026-06-08,Demand_Model,North,Positive,Negative,0.892,297.1,0.163,0.305,0.102,71.12,Success,0,Alert,Alert,Normal,Needs Attention
EVT10245,2026-04-22,Demand_Model,North,Negative,Positive,0.759,131.5,0.049,0.161,0.136,743.59,Success,0,Normal,Alert,Normal,Needs Attention
EVT10251,2026-05-20,Churn_Model,East,Negative,Negative,0.525,186.8,0.132,0.226,0.192,1263.99,Success,1,Alert,Alert,Normal,Needs Attention
EVT10418,2026-04-16,Fraud_Model,East,Positive,Positive,0.744,119.6,0.143,0.063,0.007,312.7,Success,1,Normal,Normal,Normal,Healthy
EVT10118,2026-04-14,Demand_Model,East,Positive,Negative,0.879,150.5,0.02,0.082,0.068,1167.15,Success,0,Normal,Normal,Normal,Healthy
EVT10043,2026-06-16,Fraud_Model,East,Negative,Negative,0.919,245.5,0.104,0.059,0.009,183.54,Failure,1,Normal,Normal,Normal,Healthy
EVT10322,2026-04-27,Churn_Model,North,Positive,Negative,0.594,169.7,0.014,0.057,0.099,683.72,Success,0,Normal,Normal,Normal,Healthy
EVT10347,2026-06-24,Churn_Model,East,Positive,Positive,0.718,181.8,0.019,0.034,0.084,1029.85,Success,1,Normal,Normal,Normal,Healthy
EVT10183,2026-03-03,Fraud_Model,East,Positive,Positive,0.691,299.8,0.04,0.195,0.173,1324.22,Success,1,Normal,Alert,Normal,Needs Attention
EVT10156,2026-04-18,Demand_Model,South,Positive,Negative,0.892,263.0,0.171,0.085,0.117,651.69,Success,0,Normal,Alert,Normal,Needs Attention
EVT10281,2026-06-12,Fraud_Model,East,Negative,Positive,0.611,203.0,0.15,0.26,0.08,529.07,Success,0,Alert,Normal,Normal,Needs Attention
EVT10127,2026-01-27,Churn_Model,South,Negative,Positive,0.845,117.1,0.142,0.151,0.035,1451.49,Success,0,Normal,Normal,Normal,Healthy
EVT10449,2026-04-03,Demand_Model,West,Negative,Negative,0.751,212.2,0.128,0.253,0.156,242.75,Success,1,Alert,Alert,Normal,Needs Attention
EVT10032,2026-01-15,Demand_Model,South,Positive,Negative,0.721,173.6,0.028,0.304,0.14,773.51,Success,0,Alert,Alert,Normal,Needs Attention
EVT10114,2026-03-03,Demand_Model,North,Positive,Negative,0.451,125.2,0.131,0.051,0.033,158.23,Success,0,Normal,Normal,Normal,Healthy
EVT10149,2026-03-07,Churn_Model,North,Positive,Negative,0.772,149.8,0.095,0.333,0.097,1479.42,Success,0,Alert,Normal,Normal,Needs Attention
EVT10430,2026-01-23,Demand_Model,North,Positive,Positive,0.843,262.6,0.176,0.274,0.154,889.52,Success,1,Alert,Alert,Normal,Needs Attention
EVT10401,2026-03-01,Fraud_Model,West,Positive,Negative,0.51,181.2,0.08,0.238,0.049,1085.9,Success,0,Alert,Normal,Normal,Needs Attention
EVT10058,2026-06-24,Demand_Model,South,Positive,Negative,0.541,131.8,0.019,0.149,0.067,1253.1,Success,0,Normal,Normal,Normal,Healthy
EVT10195,2026-05-10,Demand_Model,South,Positive,Positive,0.612,284.5,0.155,0.25,0.029,1377.89,Success,1,Alert,Normal,Normal,Needs Attention
EVT10025,2026-06-10,Fraud_Model,North,Negative,Negative,0.762,324.0,0.032,0.346,0.189,1358.92,Success,1,Alert,Alert,Alert,Needs Attention
EVT10018,2026-02-22,Fraud_Model,West,Positive,Negative,0.511,398.5,0.154,0.14,0.046,168.42,Success,0,Normal,Normal,Alert,Needs Attention
EVT10298,2026-04-29,Demand_Model,West,Positive,Negative,0.878,131.5,0.16,0.118,0.112,1024.97,Success,0,Normal,Alert,Normal,Needs Attention
EVT10067,2026-02-23,Fraud_Model,South,Negative,Negative,0.509,134.3,0.102,0.162,0.011,511.54,Success,1,Normal,Normal,Normal,Healthy
EVT10212,2026-04-26,Churn_Model,North,Negative,Negative,0.536,166.7,0.04,0.187,0.031,1189.59,Success,1,Normal,Normal,Normal,Healthy
EVT10404,2026-04-13,Fraud_Model,West,Positive,Positive,0.653,159.4,0.159,0.198,0.067,417.74,Success,1,Normal,Normal,Normal,Healthy
EVT10095,2026-05-16,Churn_Model,North,Positive,Negative,0.838,85.3,0.084,0.151,0.183,1168.69,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10155,2026-01-28,Demand_Model,West,Negative,Positive,0.634,113.1,0.07,0.311,0.126,710.31,Success,0,Alert,Alert,Normal,Needs Attention
EVT10441,2026-04-28,Demand_Model,East,Positive,Negative,0.78,211.9,0.103,0.113,0.02,1075.17,Success,0,Normal,Normal,Normal,Healthy
EVT10024,2026-01-21,Demand_Model,West,Negative,Positive,0.81,323.6,0.057,0.096,0.19,1042.71,Success,0,Normal,Alert,Alert,Needs Attention
EVT10226,2026-05-28,Demand_Model,West,Positive,Negative,0.875,151.3,0.092,0.157,0.015,1140.59,Failure,0,Normal,Normal,Normal,Healthy
EVT10433,2026-05-20,Fraud_Model,North,Negative,Positive,0.5,149.6,0.109,0.102,0.124,927.02,Success,0,Normal,Alert,Normal,Needs Attention
EVT10447,2026-03-10,Fraud_Model,East,Negative,Positive,0.684,128.6,0.022,0.345,0.039,1117.08,Success,0,Alert,Normal,Normal,Needs Attention
EVT10006,2026-03-13,Fraud_Model,South,Negative,Negative,0.534,151.4,0.157,0.131,0.068,1284.81,Failure,1,Normal,Normal,Normal,Healthy
EVT10117,2026-06-21,Churn_Model,East,Positive,Positive,0.771,149.7,0.09,0.05,0.055,1065.63,Success,1,Normal,Normal,Normal,Healthy
EVT10046,2026-03-30,Churn_Model,North,Positive,Positive,0.801,196.1,0.073,0.18,0.134,1244.23,Success,1,Normal,Alert,Normal,Needs Attention
EVT10017,2026-05-30,Fraud_Model,South,Negative,Negative,0.865,176.1,0.168,0.311,0.075,1146.68,Success,1,Alert,Normal,Normal,Needs Attention
EVT10494,2026-04-11,Fraud_Model,North,Positive,Negative,0.572,249.3,0.085,0.317,0.08,257.58,Success,0,Alert,Normal,Normal,Needs Attention
EVT10362,2026-04-09,Fraud_Model,North,Positive,Positive,0.507,186.1,0.013,0.165,0.15,1109.78,Success,1,Normal,Alert,Normal,Needs Attention
EVT10004,2026-01-15,Churn_Model,South,Negative,Positive,0.552,135.2,0.032,0.32,0.146,1301.36,Success,0,Alert,Alert,Normal,Needs Attention
EVT10295,2026-02-02,Churn_Model,West,Negative,Positive,0.804,248.4,0.045,0.168,0.18,1395.68,Success,0,Normal,Alert,Normal,Needs Attention
EVT10186,2026-02-08,Demand_Model,East,Positive,Negative,0.498,199.9,0.012,0.185,0.158,588.74,Success,0,Normal,Alert,Normal,Needs Attention
EVT10061,2026-06-13,Demand_Model,South,Negative,Negative,0.72,164.4,0.108,0.186,0.183,177.09,Success,1,Normal,Alert,Normal,Needs Attention
EVT10111,2026-02-02,Fraud_Model,East,Negative,Positive,0.652,150.1,0.045,0.151,0.188,839.92,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10321,2026-02-15,Fraud_Model,West,Negative,Negative,0.651,139.0,0.138,0.24,0.084,1183.37,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10266,2026-03-16,Demand_Model,West,Negative,Positive,0.956,236.1,0.053,0.273,0.019,737.93,Success,0,Alert,Normal,Normal,Needs Attention
EVT10030,2026-02-28,Demand_Model,South,Positive,Positive,0.918,67.4,0.118,0.282,0.001,1390.17,Success,1,Alert,Normal,Normal,Needs Attention
EVT10263,2026-06-10,Demand_Model,North,Negative,Negative,0.869,270.1,0.161,0.167,0.044,1331.17,Failure,1,Normal,Normal,Normal,Healthy
EVT10477,2026-01-04,Demand_Model,North,Positive,Positive,0.658,283.8,0.102,0.313,0.023,670.87,Success,1,Alert,Normal,Normal,Needs Attention
EVT10027,2026-01-22,Churn_Model,East,Positive,Negative,0.536,146.8,0.17,0.272,0.185,234.69,Failure,0,Alert,Alert,Normal,Needs Attention
EVT10008,2026-04-13,Churn_Model,East,Positive,Negative,0.97,204.9,0.164,0.036,0.005,1103.92,Success,0,Normal,Normal,Normal,Healthy
EVT10458,2026-04-04,Churn_Model,West,Negative,Positive,0.851,175.6,0.124,0.025,0.03,653.58,Success,0,Normal,Normal,Normal,Healthy
EVT10109,2026-01-12,Fraud_Model,North,Positive,Negative,0.497,137.9,0.113,0.194,0.108,273.18,Success,0,Normal,Alert,Normal,Needs Attention
EVT10038,2026-05-11,Churn_Model,North,Negative,Negative,0.95,159.5,0.118,0.307,0.075,1342.24,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10158,2026-03-25,Demand_Model,South,Positive,Negative,0.632,147.6,0.116,0.31,0.071,246.27,Success,0,Alert,Normal,Normal,Needs Attention
EVT10471,2026-06-29,Churn_Model,East,Negative,Negative,0.816,156.1,0.116,0.282,0.13,269.49,Success,1,Alert,Alert,Normal,Needs Attention
